Date,View Count,Like Count,Comment Count,Subscriber Count,SoV_Views,SoV_Likes,SoV_Comments,SoV_Subscriber
2/23/2023,88696,4148,1449,1364879,15.13810948,16.9562196,23.0109576,13.50304889
2/28/2023,60929,2483,1056,6185981,9.292348518,3.243080862,14.58160729,33.53261067
3/7/2023,60309,2084,719,670250,20.01287535,14.31023828,18.97097625,14.23101659
3/14/2023,81066,3309,1057,1160512,24.96573855,23.3340385,29.73277075,20.62837596
3/21/2023,80869,3788,879,1954747,5.074923031,6.260950051,11.06634773,8.842203951
3/28/2023,88696,4148,1449,1364879,13.66833304,14.44692115,22.35421166,12.59909629
4/4/2023,153917,5856,1124,2354895,38.11024753,31.88847746,31.51107373,17.28502471
4/11/2023,64752,2418,609,878824,35.83854,27.135,26.75747,18.45761
4/18/2023,32157,1158,396,348056,20.33233,14.6286,21.49837,15.27905
4/25/2023,78957,2478,511,773353,29.08412468,23.08122206,19.14574747,15.21380192
5/2/2023,95926,3760,985,1329531,35.98624,29.40486,30.40123,12.72507
5/9/2023,56042,2331,735,982759,38.72417,29.91914,38.36117,40.16346
5/16/2023,94125,4903,990,1220616,47.03428,41.13255,44.098,18.9231
5/23/2023,96775,5175,1286,7381729,42.3727,43.92666,39.12382,65.73047
5/30/2023,88385,4238,1162,2001517,43.78812,33.53644,37.77633,18.77087
6/6/2023,78531,3670,897,1106389,44.48895,31.89917,40.90287,25.51179
6/13/2023,68826,2898,840,969153,40.90528,29.5112,40.36521,33.48229
6/20/2023,46611,2155,613,634275,46.92115,36.99571,42.65832,31.10557
6/27/2023,47150,1971,716,769578,46.13187,40.24913,46.67536,22.32363
7/4/2023,73192,3486,1037,1553128,50.45358,42.2443,45.82413,31.71522
7/11/2023,58965,2826,910,985964,43.70951,36.26331,44.9827,6.883222
7/18/2023,98712,3995,1129,1136645,41.46396,41.55398,52.46283,28.33483
7/25/2023,69253,3044,1109,914494,45.40704,40.82071,51.39018,4.791422
8/1/2023,92508,4952,1329,1256392,19.62951,20.7162,39.89793,8.987998
8/8/2023,88410,4124,1172,1116929,70.50127,68.40272,69.67895,44.09338
8/15/2023,59737,2367,699,883651,55.45942,49.43609,51.81616,45.79167
8/22/2023,82158,3041,864,1506091,74.31011,69.69975,72.66611,74.20308
8/29/2023,60117,2195,656,799828,59.4782,50.33249,45.2726,28.97235
9/5/2023,49443,1951,692,707625,57.91952,44.0904,48.25662,36.87012
9/12/2023,62756,2571,897,1181372,67.08499,57.34999,64.62536,57.30534
9/18/2023,569552,39312,1950,1744478,92.7727,93.5844,70.75472,55.60538
9/25/2023,66898,3003,1087,833727,72.92527,61.53689,62.04338,34.7934
