Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio
Axie Infinity,22221180,967920,3256,29,800,171,7,22.96
Gods Unchained,16087980,554640,4038,18,398,124,4,29.01
Splinterlands,10432500,147420,369,6,62,80,1,70.77
Big Time,7689720,828780,898,31,789,59,6,9.28
DEADROP,5821620,493620,7543,66,1036,44,3,11.79
Skyweaver,1685940,122880,624,6,127,13,0,13.72
The Sandbox,1452900,112740,318,6,151,11,0,12.89
Blankos Block Party,1218480,118920,368,21,126,9,0,10.25
Undead Blocks,590760,132000,171,18,137,4,1,4.48
The Machines Arena,450060,34380,377,12,125,3,0,13.09
Decentraland,384540,141720,166,7,103,2,1,2.71
Illuvium,303900,33300,242,5,78,2,0,9.13
Ev.io,168900,52560,183,7,166,1,0,3.21
Thetan Arena,72600,37740,41,4,115,0,0,1.92
Town Star,59700,34980,21,4,19,0,0,1.71
The Sandbox,600,60,16,1,1,0,0,10
