Date,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio
5/23/2023,1641840,66360,560,19,186,162,6,25
5/30/2023,1978680,58080,606,18,169,196,5,34
6/6/2023,1838040,58800,536,14,163,182,5,31
6/13/2023,1848420,58680,488,15,164,183,5,32
6/20/2023,1364340,45780,396,13,156,135,4,30
6/27/2023,968280,34440,401,12,122,96,3,28.11
7/4/2023,724260,28440,386,9,109,71,2,25.47
7/11/2023,1117380,31620,895,10,123,110,3,35.34
7/18/2023,1291440,36540,587,12,134,128,3,35.34
7/25/2023,887460,39240,316,11,122,88,3,22.62
8/1/2023,1890060,73320,552,18,207,187,7,25.78
8/8/2023,1670280,62160,444,15,192,165,6,26.87
8/15/2023,1761780,58920,584,19,167,174,5,29.9
8/22/2023,1649820,114540,455,27,297,163,11,14.4
8/29/2023,1854960,140520,430,30,276,184,13,13.2
9/5/2023,1873560,138780,470,26,231,185,13,13.5
9/12/2023,1309800,116700,584,28,207,129,11,11.22
9/18/2023,1038480,97020,377,20,173,103,9,10.7
