Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio
Axie Infinity,1890060,73320,552,18,207,187,7,25.78
Big Time,755820,36960,436,12,179,74,3,20.45
Splinterlands,729960,16080,297,4,16,72,1,45.4
Gods Unchained,551280,29400,429,11,77,54,2,18.75
DEADROP,99180,16140,160,23,60,9,1,6.14
The Sandbox,67980,5940,62,4,30,6,0,11.44
Skyweaver,66480,6900,260,4,18,6,0,9.63
Blankos Block Party,47160,5400,49,3,17,4,0,8.73
The Machines Arena,34860,2100,103,2,10,3,0,16.6
Decentraland,33720,12180,306,6,18,3,1,2.77
Town Star,10140,8880,9,5,7,1,0,1.14
Ev.io,8880,1440,24,2,12,0,0,6.17
Undead Blocks,6000,2100,20,2,9,0,0,2.86
Illuvium,2100,1620,10,2,8,0,0,1.3
Thetan Arena,960,1860,2,2,6,0,0,0.52
