Game,Retweet Count,Likes Count,Tweet,SoV_Tweet,SoV_Likes,SoV_RTs
Ronin Games,33580,20979,6585,18.83113,18.75805,7.464856
@NBATopShot,5927,11160,3197,10.17116,10.88441,1.69278
@decentraland,21700,13578,3092,9.837109,13.24269,6.197627
@OthersideMeta,85519,5812,1931,6.143421,5.668474,24.42465
@ParallelTCG,3001,7832,1596,5.077628,7.638591,0.8571
@TheSandboxGame,23963,6780,1546,4.918554,6.61257,6.843951
@zed_run,1141,3730,1495,4.756299,3.637889,0.325875
@CrossTheAges,16840,3443,1423,4.527233,3.357976,4.809587
@walken_io,2941,2401,1344,4.275897,2.341708,0.839964
Other,31.46157,31.46157,31.46157,31.46157,31.46157,31.46157
