Game,Retweet Count,Likes Count,Tweet,SoV_Tweet,SoV_Likes,SoV_RTs
@NBATopShot,11729,16371,5268,14.01697576,15.09084373,5.06713555
@OthersideMeta,21935,10670,5090,13.54335737,9.835642451,9.47630815
@AxieInfinity,31071,7703,4345,11.56107815,7.100651715,13.42322182
@decentraland,14582,15943,3996,10.63246681,14.69631186,6.299682035
@TheSandboxGame,16740,15914,3930,10.45685549,14.66957957,7.231976222
@Ronin_Network,33886,8339,2566,6.827555012,7.686918688,14.63935163
@illuviumio,4874,4814,1473,3.919325227,4.437561646,2.105654248
@zed_run,600,3046,1210,3.21954075,2.807813206,0.259210617
@GodsUnchained,11526,2969,1030,2.740600804,2.736834343,4.979435958
Other,23.08224463,23.08224463,23.08224,23.08224463,23.08224463,23.08224463
