Game,View Count,Like Count,Comment Count,Subscriber Count,SoV_Views,SoV_Likes,SoV_Comments,SoV_Subscriber
Ronin Games,60854,2248,669,807501,59.4782,50.33249,45.2726,28.97235
The Sandbox,14824,493,187,882249,14.66648,11.30475,12.90545,31.9579
Splinterlands,9948,696,252,224192,9.842294,15.95964,17.3913,8.120957
Deadrop,5180,181,51,9333,5.124958,4.150424,3.519669,0.338071
Illuvium,3915,246,162,124107,3.8734,5.640908,11.18012,4.495555
League Kingdoms,1806,176,41,10819,1.78681,4.035772,2.829538,0.391899
Spider Tanks,1649,91,24,562646,1.631478,2.086677,1.656315,20.38085
Gods Unchained,1473,74,30,6441,1.457348,1.696859,2.070393,0.233314
Nine Chronicles,756,78,13,27120,0.747967,1.788581,0.89717,0.982374
Other,1.39106,1.39106,1.39106,1.39106,1.39106,1.39106,1.39106,1.39106
