Game,View Count,Like Count,Comment Count,Subscriber Count,SoV_Views,SoV_Likes,SoV_Comments,SoV_Subscriber
Deadrop,2718986,84670,2732,28762278,94.96660434,92.88370613,59.66368203,89.60552609
Axie Infinity,98712,3995,1129,1136645,3.447735092,4.382548789,24.65603844,3.54108507
Splinterlands,15515,1166,362,148533,0.541895716,1.279111862,7.905656257,0.462737256
The Sandbox,10663,132,49,786856,0.372428877,0.144805116,1.070102642,2.451358193
Decentraland,6976,487,46,786457,0.243652241,0.534243119,1.004586154,2.450115155
Illuvium,5382,399,124,225569,0.187978263,0.437706375,2.70801485,0.702733939
GodsUnchained,2325,66,43,68354,0.081205771,0.072402558,0.939069666,0.212948923
Spider Tanks,1887,107,57,38170,0.065907652,0.117379905,1.244813278,0.118914188
The Machines Arena,1176,59,8,106220,0.041074403,0.064723499,0.174710636,0.330916035
Other,0.05151764,0.05151764,0.05151764,0.05151764,0.05151764,0.05151764,0.05151764,0.05151764
