Game,View Count,Like Count,Comment Count,Subscriber Count,SoV_Views,SoV_Likes,SoV_Comments,SoV_Subscriber
Axie Infinity,69253,3044,1109,914494,45.40704,40.82071,51.39018,4.791422
The Sandbox,31024,1444,222,17214363,20.34147,19.36436,10.2873,90.19335
Deadrop,21806,660,116,61770,14.29752,8.850744,5.375348,0.323639
Splinterlands,10632,777,265,99248,6.971072,10.41974,12.27989,0.520002
Decentraland,7775,718,148,545202,5.097826,9.628537,6.858202,2.856545
Illuvium,5142,437,153,96138,3.37145,5.860266,7.089898,0.503708
GodsUnchained,3566,201,103,69366,2.338115,2.695454,4.772938,0.363438
Battle Bears,1213,12,3,491,0.795326,0.160923,0.139018,0.002573
Spider Tanks,1106,93,29,44012,0.72517,1.24715,1.343837,0.230598
Other,0.655013,0.655013,0.655013,0.655013,0.655013,0.655013,0.655013,0.655013
